,comedy
63,Charlie has an extraordinary ability to determine when someone is lying. She hits the road with her Plymouth Barracuda and with every stop encounters a new cast of characters and strange crimes she can't help but investigate and solve.
64,"Wolverine joins the ""merc with a mouth"" in the third installment of the Deadpool film franchise."
65,The satiric adventures of a working-class family in the misfit city of Springfield.
66,"The numerous adventures of a countryside veterinarian practice in 1930s to 1940s Yorkshire, England."
67,A creative writing assignment yields complex results between a teacher and his talented student.
68,"Dr. Frasier Crane moves back to his hometown of Seattle, where he lives with his father and works as a radio psychiatrist."
69,"Follows Wednesday Addams' years as a student, when she attempts to master her emerging psychic ability, thwart a killing spree, and solve the mystery that embroiled her parents."
70,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government."
71,A Detective Inspector is transferred from London to the Caribbean island of Saint-Marie to investigate and solve complex murders.
72,"From the world of ""The Boys"" comes ""Gen V,"" which explores the first generation of superheroes to know that their super powers are from Compound V. These heroes put their physical and moral boundaries to the test competing for the school's top ranking."
73,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado."
74,A father recounts to his children - through a series of flashbacks - the journey he and his four best friends took leading up to him meeting their mother.
75,"A suave, best-selling author teams up with a strait-laced detective to solve crimes in New York City."
76,"In a seafaring world, a young pirate captain sets out with his crew to attain the title of Pirate King, and to discover the mythical treasure known as 'One Piece.'"
77,"Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted forever."
78,A hedonistic jingle writer's free-wheeling life comes to an abrupt halt when his brother and 10-year-old nephew move into his beach-front house.
79,"Four 18-year-old freshman roommates at Essex College in Vermont. A bundle of contradictions and hormones, these sexually active college girls are equal parts lovable and infuriating."
80,"Two lifelong friends find themselves at an impasse when one abruptly ends their relationship, with alarming consequences for both of them."
81,A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.
82,Four friends from a village in Punjab share a common dream: to go to England. Their problem is that they have neither the visa nor the ticket. A soldier promises to take them to the land of their dreams.
83,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.
84,"The series follows Adrian Monk, a brilliant former San Francisco detective, who now consults the police as a private consultant whilst battling with an obsessive-compulsive disorder."
85,"A grieving therapist starts to tell his clients exactly what he thinks. Ignoring his training and ethics, he finds himself making huge changes to people's lives - including his own."
86,"A group of spirits restlessly squabble in an abandoned country house. To their despair, a young couple inherits the house with hopeful plans to renovate it into a luxury hotel."
87,"A tale of outsized ambition and outrageous excess, it traces the rise and fall of multiple characters during an era of unbridled decadence and depravity in early Hollywood."
88,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time."
89,Bob Belcher runs a struggling burger shop with his wife and three children.
90,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues."
91,A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.
92,"It follows the workings of an American jury trial through the eyes of Ronald Gladden, a juror who is unaware the entire case is fake. Everyone except him is an actor, and everything that happens is carefully planned."
93,A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.
94,Two unpopular queer high-school students start a fight club to have sex before graduation.
95,"Live-action adaptation of the animated series centering on the adventures of Aang and his friends, who fight to save the world by defeating the Fire-Nation."
96,"The regulars of the Boston bar ""Cheers"" share their experiences and lives with each other while drinking or working at the bar where everybody knows your name."
97,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.
98,"Follows a group of teachers brought together in one of the worst public schools in the country, simply because they love teaching."
99,"In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne."
100,A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.
101,"Still reeling from the loss of Gamora, Peter Quill rallies his team to defend the universe and one of their own - a mission that could mean the end of the Guardians if not successful."
102,A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.
103,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town."
104,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again."
105,"A charming thief and a band of unlikely adventurers embark on an epic quest to retrieve a lost relic, but things go dangerously awry when they run afoul of the wrong people."
106,"A pitiless demon becomes powerless after getting entangled with an icy heiress, who may hold the key to his lost abilities -- and his heart."
107,A 74-year-old lizard named Leo and his turtle friend decide to escape from the terrarium of a Florida school classroom where they have been living for decades.
108,"Following the sudden death of his mother, a mild-mannered but anxiety-ridden man confronts his darkest fears as he embarks on an epic, Kafkaesque odyssey back home."
109,"In the unreal world of Sacred Heart Hospital, intern John ""J.D."" Dorian learns the ways of medicine, friendship and life."
110,"After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?"
111,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.
112,"After their high school basketball coach passes away, five good friends and former teammates reunite for a Fourth of July holiday weekend."
113,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age."
114,"After reluctantly agreeing to move in to a senior's home, a woman encounters a clique of mean-spirited women and an amorous widower."
115,"In modern-day Helsinki, two lonely souls in search of love meet by chance in a karaoke bar. However, their path to happiness is beset by obstacles - from lost phone numbers to mistaken addresses, alcoholism, and a charming stray dog."
116,"A young couple travels to a remote island to eat at an exclusive restaurant where the chef has prepared a lavish menu, with some shocking surprises."
117,The staff of an Army hospital in the Korean War find that laughter is the best way to deal with their situation.
118,"Follows judge Abby Stone, as she presides over the night shift of a Manhattan arraignment court and tries to bring order to its crew."
119,Comedy series about four Native American teenagers growing up on a reservation in eastern Oklahoma.
120,"Set 400 years in the future, finds the crew of the U.S.S. Orville continuing their mission of exploration, as they navigate both the mysteries of the universe and the complexities of their own interpersonal relationships."
121,A pair of housewives create a $40 million coupon scam.
122,Secrets and truths unfold through the lives of female friends in one suburban neighborhood after the mysterious suicide of a neighbor.
123,"A realtor, a former tennis star, and a plumber seize a unique opportunity to capitalize on America's obsession with true crime."
124,David vs. Goliath tale about everyday people who flipped the script on Wall Street and got rich by turning GameStop (the video game store) into the world's hottest company.
125,"A young couple, Sam and Jay, inherit a haunted mansion and, unaware of their invisible housemates, plan to turn it into a B&B. Their lives become much more complicated after a fall causes Sam to see the ghosts. Based on the UK series."
126,"Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together."
127,A fashion model celebrity couple join an eventful cruise for the super-rich.
128,"In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money can't buy happiness."
129,"After being kicked out of his rock band, Dewey Finn becomes a substitute teacher of an uptight elementary private school, only to try and turn his class into a rock band."
130,"Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it."
131,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
132,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker."
133,"A story about Ji-won, a time-limited woman, returning back to 10 years ago and dreaming of revenge after being killed by her husband who had an affair with her best friend."
134,"Follows four Asian American friends as they bond and discover the truth of what it means to know and love who you are, while they travel through China in search of one of their birth mothers."
135,"When a novice sleuth convinces the police he has psychic powers, he and his reluctant best friend are hired on as consultants to help solve complicated cases."
136,The Cunningham family live through the 1950s with help and guidance from lovable and almost superhuman greaser Fonzie.
137,"A gifted young teen tries to survive life with his dimwitted, dysfunctional family."
138,"A young woman from Blackpool finds her voice in the male dominated world of the 1960s comedy, and in doing so takes London by storm."
139,The year is 1717. Wealthy land-owner Stede Bonnet has a midlife crisis and decides to blow up his cushy life to become a pirate. It does not go well. Based on a true story.
140,A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild child past.
141,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.
142,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
143,A brother and sister are at ground zero when a family secret sends shock waves through an already dysfunctional family.
144,An abandoned dog teams up with other strays to get revenge on his former owner.
145,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters."
146,"A family of former child heroes, now grown apart, must reunite to continue to protect the world."
147,"An anthology series that follows three women in different decades all living in the same house, as they deal with infidelity and betrayals in their marriages."
148,"The alumni cast of a space opera television series have to play their roles as the real thing when an alien race needs their help. However, they also have to defend both Earth and the alien race from a reptilian warlord."
149,"Shy, closeted Jack has spent the past year at home with his mum. He's been grieving for his father but the time has come for him to take his place at uni where he meets his roommate mature student Danny and an unlikely friendship develops."
150,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable."
151,"Al is the quintessential working class dad. Peggy, his wife, always wants more from him. With their children, they go through the highs and lows of ordinary life."
152,"Rival groups in a skiing school do battle on and off the piste. One gang are rich and serious, the other group are party animals."
153,A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.
154,"Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law."
155,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart."
156,"Tech billionaire Miles Bron invites his friends for a getaway on his private Greek island. When someone turns up dead, Detective Benoit Blanc is put on the case."
157,"Seeking shelter from a storm, five travelers are in for a bizarre and terrifying night when they stumble upon the Femm family estate."
158,"Jake Blues rejoins with his brother Elwood after being released from prison, but the duo has just days to reunite their old R&B band and save the Catholic home where the two were raised, outrunning the police as they tear through Chicago."
159,"Earn and his cousin, Alfred, try to make their way in the world through Atlanta's rap scene. Along the way they come face-to-face with social and economic issues touching on race, relationships, poverty, status and parenthood."
160,"A detective investigates the death of the patriarch of an eccentric, combative family."
161,A look at the lives of employees at a big box store.
162,"A royal woman living in rural Russia during the 18th century is forced to choose between her own personal happiness and the future of Russia, when she marries an Emperor."
163,"An eight-year-old troublemaker, mistakenly left home alone, must defend his home against a pair of burglars on Christmas Eve."
164,"Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world."
165,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm."
166,"A collection of animated short stories that span various genres including science fiction, fantasy, horror and comedy."
167,"An ex-special forces operative takes a job to provide security for a journalist as she interviews a dictator, but when a military coup breaks out in the middle of the interview, they are forced to escape into the jungle."
168,A writer recounts a childhood journey with his friends to find the body of a missing boy.
169,The film follows the Turtle brothers as they work to earn the love of New York City while facing down an army of mutants.
170,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary."
171,"Ahana, Neil and Imaad are three friends in their 20s trying to find meaning in the digital age. They lean on each other as they navigate complexities of relationships and self-discovery."
172,"Now exiled from Heaven and Hell, Aziraphale and Crowley must team up once again after the mysterious arrival of a familiar face."
173,"Follows a motor-mouthed outsider offered a chance at a better life, but only if he can successfully deliver a mysterious package across a post-apocalyptic wasteland."
174,Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.
175,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
176,Four teenage boys enter a pact to lose their virginity by prom night.
177,Series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.
178,"Explores every facet of Yankovic's life, from his meteoric rise to fame with early hits like 'Eat It' and 'Like a Surgeon' to his torrid celebrity love affairs and famously depraved lifestyle."
179,"Supervillains Harley Quinn, Bloodsport, Peacemaker, and a collection of nutty cons at Belle Reve prison join the super-secret, super-shady Task Force X as they are dropped off at the remote, enemy-infused island of Corto Maltese."
180,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.
181,Based on the true-life experiences of Dave Fishwick; 'Bank of Dave' tells the story of how a working class Burnley man and self-made millionaire fought to set up a community bank.
182,Two low-level astronomers must go on a giant media tour to warn humankind of an approaching comet that will destroy planet Earth.
183,"Otto is a grump who's given up on life following the loss of his wife and wants to end it all. When a young family moves in nearby, he meets his match in quick-witted Marisol, leading to a friendship that will turn his world around."
184,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999."
185,"Having pulled off an escape from Tweedy's farm, Ginger has found a peaceful island sanctuary for the whole flock. But back on the mainland the whole of chicken-kind faces a new threat, and Ginger and her team decide to break in."
186,A working-class Italian-American bouncer becomes the driver for an African-American classical pianist on a tour of venues through the 1960s American South.
187,"This is a follow-up to the comedy Beetlejuice (1988), about a ghost who's recruited to help haunt a house."
188,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
189,"It follows Monk, a brilliant detective with obsessive-compulsive disorder. He returns to solve one last case involving his stepdaughter Molly, a journalist preparing for her wedding."
190,"Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle."
191,The Garvey sisters are bound together by their parents' deaths and a promise to always protect one another.
192,"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life."
193,A series about a powerful friendship that blossoms between a tightly wound widow and a free spirit with a shocking secret.
194,"A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars."
195,"When Guy, a bank teller, learns that he is a non-player character in a bloodthirsty, open-world video game, he goes on to become the hero of the story and takes the responsibility of saving the world."
196,"Ginny Miller, an angsty fifteen-year-old, often feels more mature than her thirty-year-old mother, the irresistible and dynamic Georgia Miller."
197,"Struggling prog-rock musician William Brown finds himself in a living nightmare when he accidentally kills Vlad, the neighbor from hell."
198,A snobbish investor and a wily street con artist find their positions reversed as part of a bet by two callous millionaires.
199,Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.
200,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
201,"When his peaceful life is threatened by a high-tech assassin, former black-ops agent Frank Moses reassembles his old team in a last-ditch effort to survive and uncover his assailants."
202,Follows the personal and professional life of lawyer Ally.
203,"Global human annihilation is impending due to a mystery planet speeding towards Earth. Among the hedonistic crowd, one quiet and perpetually uneasy woman stands out, while the majority feel free to follow their greatest desires."
204,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks."
205,"Follows a world-famous televangelist family with a long tradition of deviance, greed, and charitable work."
206,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love."
207,"Bill, a young boy living on the outskirts of London experiences the exhilaration of World War II. During this period, Bill learns about sex, death, love, hypocrisy, and the faults of adults as he prowls the ruins of bombed houses."
208,A widowed sportscaster raises his three daughters with assistance from his rock and roll brother-in-law and madcap best friend.
209,"A white-collar criminal agrees to help the FBI catch other white-collar criminals using his expertise as an art and securities thief, counterfeiter, and conman."
210,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s in Northern Ireland.
211,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond."
212,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
213,"When a computer geek inadvertently downloads critical government secrets into his brain, both the CIA and the NSA assign an agent to protect him and exploit his newfound skills."
214,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star."
215,"A coming of RAGE love story about a teenager and her crush, who happens to be a corpse. After a set of horrific circumstances bring him back to life, the two embark on a journey to find love, happiness - and a few missing body parts."
216,"After the crew becomes sick with food poisoning, a neurotic ex-fighter pilot must land a commercial airplane full of passengers safely."
217,A small town is shaken by a series of ominous killings in the days leading up to a heated mayoral election.
218,Callie and Mariana Foster move to Los Angeles and begin their lives as young adults.
219,"An actor returns home after a public meltdown. Partnering with his police detective friend, he tries to use his acting experience to solve real crimes."
220,A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.
221,A comedy about the experiences of a group of girls in their early 20s.
222,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
223,"When an average-looking teenage girl gets a makeover, it's enough to make her father become overprotective of her."
224,Plot under wraps
225,"Four previously married women live together in Miami, sharing their various experiences together and enjoying themselves despite hard times."
226,"A man is able to choose his own afterlife after his untimely death by having his consciousness uploaded into a virtual world. As he gets used to his new life and befriends his angel (real world handler), questions about his death arise."
227,"A troubled youth becomes embroiled in the lives of a close-knit group of people in the wealthy, upper-class neighborhood of Newport Beach, Orange County, California."
228,"Three incoming freshmen attending Midwestern college football powerhouse Blue Mountain State must quickly adapt to college life and juggle football, girls, classes and nonstop hazing."
229,"In Hell, imp Blitzø runs an assassin business targeting the world of the living, using a spell book borrowed from a prince of Hell. With employees Moxxie, Millie, and Loona, they attempt to survive each other while keeping business afloat."
230,Special agent Orson Fortune and his team of operatives recruit one of Hollywood's biggest movie stars to help them on an undercover mission when the sale of a deadly new weapons technology threatens to disrupt the world order.
231,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind."
232,"In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history."
233,"A girl's ""sweet"" sixteenth birthday is anything but special: her family forgets about it, and she suffers from every embarrassment possible."
234,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.
235,Moviestar Nick Cage is channeling his iconic characters as he's caught between a superfan and a CIA agent.
236,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
237,"The escapades of Stan Smith, a conservative C.I.A. Agent dealing with family life, and keeping America safe."
238,The comical everyday life of sports columnist Ray Barone and his dysfunctional family.
239,"When Ashley and her young daughter Sarah get caught up in a criminal enterprise that puts their lives at risk, she turns to estranged father Matt, currently living the life of a retired beach bum in the Cayman Islands."
240,A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.
241,Siblings form a rock group with two friends.
242,"Follow Riley, in her teenage years, encountering new emotions."
243,A bus driver and his sewer worker friend struggle to strike it rich while their wives look on with weary patience.
244,"The trials and tribulations of Martin Ellingham, a brilliant but socially challenged doctor who moves from London to the picturesque village of Port Wenn in Cornwall."
245,"When her family moves from the city to the suburbs, 11-year-old Margaret navigates new friends, feelings, and the beginning of adolescence."
246,A high school jock makes a bet that he can turn an unattractive girl into the school's prom queen.
247,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word."
248,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
249,"A fearless, globe-trotting, terrorist-battling secret agent has his life turned upside down when he discovers his wife might be having an affair with a used-car salesman while terrorists smuggle nuclear war heads into the United States."
250,An insurance salesman discovers his whole life is actually a reality TV show.
251,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius."
252,The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.
253,"When five struggling single moms put aside their differences to form a support group, they find inspiration and laughter in their new sisterhood, and help each other overcome the obstacles that stand in their way."
254,Smart but wholesome Betty embraces her unique appearance and independent attitude in the cutthroat world of New York fashion.
255,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.
256,"The misadventures of a talking sea sponge who works at a fast food restaurant, attends a boating school, and lives in an underwater pineapple."
257,"Follows a veteran bookie struggling to survive the impending legalization of sports gambling, increasingly unstable clients, family and co-workers."
258,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable."
259,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.
260,"In ancient Polynesia, when a terrible curse incurred by the demigod Maui reaches Moana's island, she answers the Ocean's call to seek out Maui to set things right."
261,"A high-school boy, Cameron, cannot date Bianca until her anti-social older sister, Kat, has a boyfriend. So, Cameron pays a mysterious boy, Patrick, to charm Kat."
262,A veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the U.S. from Mexico.
