,animation
38,"Having pulled off an escape from Tweedy's farm, Ginger has found a peaceful island sanctuary for the whole flock. But back on the mainland the whole of chicken-kind faces a new threat, and Ginger and her team decide to break in."
39,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father an homage.
40,"On the way to the biggest race of his life, a hotshot rookie race car gets stranded in a rundown town and learns that winning isn't everything in life."
41,"An elf and her friends defeat a demon king in a great war. But the war is over, and the elf must search for a new way of life."
42,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed."
43,"Global human annihilation is impending due to a mystery planet speeding towards Earth. Among the hedonistic crowd, one quiet and perpetually uneasy woman stands out, while the majority feel free to follow their greatest desires."
44,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
45,"In Hell, imp Blitzø runs an assassin business targeting the world of the living, using a spell book borrowed from a prince of Hell. With employees Moxxie, Millie, and Loona, they attempt to survive each other while keeping business afloat."
46,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle."
47,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife."
48,"The escapades of Stan Smith, a conservative C.I.A. Agent dealing with family life, and keeping America safe."
49,Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.
50,"Follow Riley, in her teenage years, encountering new emotions."
51,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.
52,"The misadventures of a talking sea sponge who works at a fast food restaurant, attends a boating school, and lives in an underwater pineapple."
53,"In ancient Polynesia, when a terrible curse incurred by the demigod Maui reaches Moana's island, she answers the Ocean's call to seek out Maui to set things right."
54,A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.
55,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger."
56,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
57,"Scott Pilgrim meets the girl of his dreams, Ramona Flowers, only to find out her seven evil exes stand in the way of their love."
58,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery."
59,"A 12-year-old boy and his best friend, a wise 28-year-old dog with magical powers, go on a series of surreal adventures in a remote future."
60,"In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same."
61,"Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of all ninja in the village."
62,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world."
63,"A superhero-admiring boy enrolls in a prestigious hero academy and learns what it really means to be a hero, after the strongest superhero grants him his own powers."
64,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.
65,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish."
66,"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
67,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends."
68,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy."
69,"After saving the realm from evil and destruction at the hands of the most terrifying power couple in Exandria, Vox Machina is faced with saving the world once again-this time, from a sinister group of dragons known as the Chroma Conclave."
70,"Naruto Uzumaki, a mischievous adolescent ninja, struggles as he searches for recognition and dreams of becoming the Hokage, the village's leader and strongest ninja."
71,"After leaving off from Spider-Man: Across the Spider-Verse, the story continues."
72,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.
73,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
74,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
75,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
76,Teenage friends find their lives upended by the wonders and horrors of puberty.
77,"A spy on an undercover mission gets married and adopts a child as part of his cover. His wife and daughter have secrets of their own, and all three must strive to keep together."
78,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.
79,"Can sisters be reincarnated from dragon poop? Laios and his friends Marcille and Chilchuck delve into an endless dungeon in search of his fallen sister, fighting monsters, starvation, and corruption."
80,An urbane fox cannot resist returning to his farm raiding ways and then must help his community survive the farmers' retaliation.
81,"When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls."
82,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
83,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
84,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon."
85,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
86,"High school student Ichigo Kurosaki, who has the ability to see ghosts, gains soul reaper powers from Rukia Kuchiki and sets out to save the world from ""Hollows""."
87,"To avoid prison, a gang of notorious animal criminals pretends to seek being rehabilitated, only for their leader to realize that he genuinely wants to change his ways."
88,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
89,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.
90,"When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners."
91,A young boy and his little sister struggle to survive in Japan during World War II.
92,"To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way."
93,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
94,Sonic in a high-octane adventure where the fate of a strange new multiverse rests in his gloved hands.
95,"When a knight in a futuristic medieval world is framed for a crime he didn't commit, the only one who can help him prove his innocence is Nimona -- a mischievous teen who happens to be a shapeshifting creature he's sworn to destroy."
96,"Following a betrayal, a young man left for dead is reborn as a powerful devil-human hybrid after merging with his pet devil and is soon enlisted into an organization dedicated to hunting devils."
97,"The series focuses on a single Harley Quinn, who sets off to make it on her own in Gotham City."
98,"Tom Lee, a Chinese-American boy, after the death of his grandmother, has to be apprenticed to the talking tiger Mr. Hu and learn ancient magic to become the new guardian of an ancient phoenix."
99,"A straight-laced propane salesman in Arlen, Texas tries to deal with the wacky antics of his family and friends, while also trying to keep his son in line."
100,"When the world's seven most advanced robots and their human allies are murdered one by one, inspector Gesicht soon discovers that he's also in danger."
101,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think."
102,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway."
103,A man raised by gorillas must decide where he really belongs when he discovers he is a human.
104,"An origin story set on Cybertron, home of both the Autobots and the Decepticons. The film is said to focus on the relationship between Optimus Prime and Megatron"
105,A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.
106,"A magical meteor crash lands in Adventure City and gives the PAW Patrol pups superpowers, transforming them into The Mighty Pups"
107,"Asta and Yuno were abandoned together at the same church and have been inseparable since. As children, they promised that they would compete against each other to see who would become the next Emperor Magus."
108,Plot unknown. Fourth installment of the 'Despicable Me' franchise.
109,"A thirteen-year-old girl named Mei Lee is torn between staying her mother's dutiful daughter and the changes of adolescence. And as if the challenges were not enough, whenever she gets overly excited she transforms into a giant red panda."
110,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
111,"A young maiden is kidnapped and sold into servitude at the emperor's palace, where she secretly employs her pharmacist skills with the help of the head eunuch to unravel medical mysteries in the inner court."
112,"Guts, a wandering mercenary, joins the Band of the Hawk after being defeated in a duel by Griffith, the group's leader and founder. Together, they dominate every battle, but something menacing lurks in the shadows."
113,"The support crew serving on one of Starfleet's least important ships, the U.S.S. Cerritos, have to keep up with their duties, often while the ship is being rocked by a multitude of sci-fi anomalies."
114,"Into a world of magicians is born Mash, a young boy who lacks magic but is the strongest person around. His existence and destiny will change his world."
115,"Garfield is about to go on a wild outdoor adventure. After an unexpected reunion with his long-lost father - the cat Vic - Garfield and Odie are forced to abandon their pampered life to join Vic in a hilarious, high-stakes heist."
116,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch."
117,"A Street Kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an Edgerunner, a Mercenary outlaw also known as a Cyberpunk."
118,"A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him."
119,"Dr. Kenzo Tenma, an elite neurosurgeon, finds his life in utter turmoil after following his conscience to operate on a small boy named Johan."
120,"When Kiyotaka enters government-sponsored elite high school, he finds out just how merit-based this education system is."
121,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe."
122,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies."
123,"The story of the Joestar family, who are possessed with intense psychic strength, and the adventures each member encounters throughout their lives."
124,A vampire hunter fights to save a besieged city from an army of otherworldly creatures controlled by Dracula.
125,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.
126,"Krypto the Super-Dog and Superman are inseparable best friends, sharing the same superpowers and fighting crime side by side in Metropolis. However, Krypto must master his own powers for a rescue mission when Superman is kidnapped."
127,Avatar Korra fights to keep Republic City safe from the evil forces of both the physical and spiritual worlds.
128,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.
129,A modern action adventure road story where a 17-year-old girl named Suzume helps a mysterious young man close doors from the other side that are releasing disasters all over in Japan.
130,"Ash Ketchum, his yellow pet Pikachu, and his human friends explore a world of powerful creatures."
131,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby."
132,"Shrek and Fiona travel to the Kingdom of Far Far Away, where Fiona's parents are King and Queen, to celebrate their marriage. When they arrive, they find they are not as welcome as they thought they would be."
133,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process."
134,The surreal misadventures of two best friends - a blue jay and a raccoon - as they seek to liven up their mundane jobs as groundskeepers at the local park.
135,"The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat."
136,"Marvin Flute, who might be the greatest detective ever, has one mystery he still can't crack: his family. He will follow every lead he's got to redeem himself with the ex-wife he never stopped loving."
137,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets."
138,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace."
139,"The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approaching Ichigo and his friends in Karakura Town."
140,"On the Italian Riviera, an unlikely but strong friendship grows between a human being and a sea monster disguised as a human."
141,"When Hiccup discovers Toothless isn't the only Night Fury, he must seek the Hidden World, a secret Dragon Utopia before a hired tyrant named Grimmel finds it first."
142,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.
143,The 'Bad Batch' of elite and experimental clones make their way through an ever-changing galaxy in the immediate aftermath of the Clone Wars.
144,"When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
145,"When the power-hungry Ravan tore through the world to unleash evil, in his way stood a humble vaanar awoken to his divinity to become an immortal legend."
146,"After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy."
147,"Hanagaki Takemichi lives an unsatisfying life right up until his death. Waking up 12 years in the past, he reckons with the eventual fate of his friends and tries to prevent an unfortunate future."
148,"Marinette and Adrien, two normal teens, transform into the superheroes Ladybug and Cat Noir when a mysterious evil threatens to destroy Paris."
149,"Simba, having become king of the Pride Lands, is determined for his cub to follow in his paw prints while the origins of his late father Mufasa are explored."
150,"Anna, Elsa, Kristoff, Olaf and Sven leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. They set out to find the origin of Elsa's powers in order to save their kingdom."
151,"Follows a flawed family of humans, gods, and monsters that tries to run one of the world's first cities without killing each other."
152,"A young woman starts to get messages from an unknown number that claims to be her deceased father. Trying to uncover the truth, she stumbles upon a larger conspiracy involving the singularity."
153,"A shy adolescent learns that she comes from a fabled royal family of legendary sea krakens and that her destiny lies in the depths of the waters, which is bigger than she could have ever imagined."
154,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.
155,Teela joins forces with He-Man and the other Masters in their quest to save Eternia from the grip of darkness.
156,"A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild."
157,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child."
158,"The last surviving child of the Russian Royal Family joins two con men to reunite with her grandmother, the Dowager Empress, while the undead Rasputin seeks her death."
159,"A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace."
160,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
161,"In a world dominated by female superhumans, a young male is recruited into a squad of monster hunters."
162,"Son of Naruto Uzumaki, Boruto, follows his father's footsteps along with his friends to become great ninja. Throughout all their adventures, Boruto is determined to make his mark in the ninja world and live outside of his father's shadow."
163,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes."
164,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past."
165,"In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management."
166,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better."
167,Brothers Huey and Riley Freeman experience a culture clash when they leave Chicago to move in with their grandfather in the suburbs.
168,A young linguist named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.
169,"Phineas and Ferb invent, scheme, and stay one step ahead of their bratty sister. Meanwhile, their pet platypus plots against evil Dr. Doofenshmirtz."
170,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives."
171,Egyptian Prince Moses learns of his identity as a Hebrew and his destiny to become the chosen deliverer of his people.
172,"In a realm known as Kumandra, a re-imagined Earth inhabited by an ancient civilization, a warrior named Raya is determined to find the last dragon."
173,"Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse."
174,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.
175,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo."
176,"When a cartoon rabbit is accused of murder, he enlists the help of a burnt out private investigator to prove his innocence."
177,A grumpy Grinch plots to ruin Christmas for the village of Whoville.
178,"Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder."
179,A sausage strives to discover the truth about his existence.
180,Lightning McQueen sets out to prove to a new generation of racers that he's still the best race car in the world.
181,"The story of Ben Tennyson, a typical kid who becomes very atypical after he discovers the Omnitrix, a mysterious alien device with the power to transform the wearer into ten different alien species."
182,"In ancient China, a young boy dreams of becoming the greatest general of the Qin Kingdom."
183,"Jim Hawkins is a teenager who finds the map of a great treasure hidden by a space pirate. Together with some friends, he sets off in a large spaceship, shaped like a caravel, on his quest."
184,"A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick."
185,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service."
186,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.
187,"On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas."
188,"Cid Kagenou creates an elaborate plot to fight the Cult of Diabolos and builds his organization, the Shadow Garden."
189,"When Blu, a domesticated macaw from small-town Minnesota, meets the fiercely independent Jewel, he takes off on an adventure to Rio de Janeiro with the bird of his dreams."
190,"When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye."
191,A group of enslaved teenagers steal a derelict Starfleet vessel to escape and explore the galaxy.
192,"The prequel to Jujutsu Kaisen (2020), where a high schooler gains control of an extremely powerful cursed spirit and gets enrolled in the Tokyo Prefectural Jujutsu High School by Jujutsu Sorcerers."
193,"Jagna is a young woman determined to forge her own path in a late 19th century Polish village - a hotbed of gossip and on-going feuds, held together, rich and poor, by adherence to colorful traditions and deep-rooted patriarchy."
194,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics."
195,The curtain is pulled back on the millennia-old battle between the organizations of good luck and bad luck that secretly affects everyday lives.
196,"A worker in a foreign finance company is bullied and worked around the clock, before a zombie outbreak finally makes him feel alive."
197,"A five-year-old boy develops a relationship with Ponyo, a young goldfish princess who longs to become a human after falling in love with him."
198,"A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer."
199,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis."
200,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.
201,"A grumpy ghost named Scratch is eternally cursed to be in the presence of polar opposite Molly McGee, a cheerful tween."
202,"Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world."
203,"Follows Orion, a young boy who is afraid of heights, pets, and rendered nearly catatonic by the worst of all perils: the dark. The Dark takes Orion on a nighttime trip to prove to the youngster that the only thing to fear is fear itself."
204,A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know that things are about to take a turn for the worst.
205,The adventures of a single dad and his weird Alaskan family.
206,The life of a twelve-year-old boy who happens to be a blue cat as he lives with his family and other strange creatures.
207,"Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home."
208,A woman gets trapped in a crazy virtual world along with five other humans and are now subject to the whims of wacky AI and their own personal traumas.
209,"The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved."
210,"Led by a boy named Ryder, a team of six playful rescue dogs use their individual talents to protect the seaside town of Adventure Bay. The pups are often joined by their friends: Cap'n Turbot, Robo-Dog, Everest, and Tracker."
211,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.
212,"A fearless blue-haired girl named Hilda leaves the forest to go to town and find new friends, great adventures, magic and mysterious creatures who might be dangerous."
213,A rather neurotic ant tries to break from his totalitarian society while trying to win the affection of the princess he loves.
214,"A family of aliens move to middle America, where they debate whether life is better there or on their home planet."
215,"During the French Revolution, vampire hunter prodigy Richter Belmont fights to uphold his family's legacy and prevent the rise of a ruthless, power-hungry vampire."
216,"The origin of the sleuth and member of the Mystery Inc. gang, Velma."
217,"A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends."
218,Friendly but forgetful blue tang Dory begins a search for her long-lost parents and everyone learns a few things about the real meaning of family along the way.
219,"Accidentally sent to the world of the Boiling Isles before a trip to summer camp, a teenage human named Luz longs to become a witch and is aided by rebellious Eda and pint-sized demon King."
220,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion."
221,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can."
222,"An all-star ensemble of beloved characters from Walt Disney Animation Studios come together for a joyful, entertaining and emotional reunion as they assemble for a spectacular group photo to mark Disney's 100th anniversary."
223,"Princess Tiabeanie, 'Bean', is annoyed at her imminent arranged marriage to Prince Merkimer. Then she meets Luci, a demon, and Elfo, an elf, and things get rather exciting, and dangerous."
224,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.
225,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption."
226,A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.
227,"A quirky, dysfunctional family's road trip is upended when they find themselves in the middle of the robot apocalypse and suddenly become humanity's unlikeliest last hope."
228,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II."
229,"After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire."
230,"Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure."
231,"A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world."
232,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans."
233,"When a dog wants to be a boy after watching Pinocchio, he meets a mad scientist who steals his mind. Now his owner, a lizard, and a parrot have to go into the timelines to give him pizza and save him."
234,"A 34-year-old Japanese NEET is run over by a speeding truck and dies. Before he knows it, he is reborn as Rudeus Greyrat, and begins a new life full of adventure."
235,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
236,"Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club."
237,"Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household."
238,"When a son of a gangster shark boss is accidentally killed while on the hunt, his would-be prey and his vegetarian brother decide to use the incident to their own advantage."
239,"The warrior Beowulf must fight and defeat the monster Grendel, who is terrorizing Denmark, then Grendel's Mother, who begins killing out of revenge."
240,"Set in Japan, Isle of Dogs follows a boy's odyssey in search of his lost dog."
241,"Evil genius Megamind finally defeats his do-gooder nemesis, Metro Man, but is left without a purpose in a superhero-free world."
242,The war for Eternia begins again in what may be the final battle between He-Man and Skeletor. A new animated series from writer-director Kevin Smith.
243,The untold story of one twelve-year-old's dream to become the world's greatest supervillain.
244,"Araji Tomobishi gets caught up in battles among powerful individuals after reuniting with his former friend Mataka Asamine. Meanwhile, the shadow of a colossal demon appears...?!."
245,"Po and his friends fight to stop a peacock villain from conquering China with a deadly new weapon, but first the Dragon Warrior must come to terms with his past."
246,A rag doll that awakens in a postapocalyptic future holds the key to humanity's salvation.
