,romance
33,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome."
34,"Lily believes she's found true love with Ryle, but when a painful incident triggers past trauma, she must decide if love alone can carry her marriage through. However, things are complicated when her first love returns to her life."
35,The eight close-knit siblings of the Bridgerton family look for love and happiness in London high society.
36,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
37,"In a dystopian near future, according to the laws of The City, single people are taken to The Hotel, where they are obliged to find a romantic partner in 45 days or they're transformed into beasts and sent off into The Woods."
38,"A young woman, destined to slay vampires, demons and other infernal creatures, deals with her life fighting evil, with the help of her friends."
39,"After a bad break-up, Jess, an offbeat young woman, moves into an apartment loft with three single men. Although they find her behavior very unusual, the men support her - most of the time."
40,"Half-brothers Lucas and Nathan Scott trade between kinship and rivalry both on the basketball court and in the hearts of their friends in the small, but not so quiet town of Tree Hill, North Carolina."
41,A pushy boss forces her young assistant to marry her in order to keep her visa status in the U.S. and avoid deportation to Canada.
42,"A pitiless demon becomes powerless after getting entangled with an icy heiress, who may hold the key to his lost abilities -- and his heart."
43,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed."
44,"Telepathic waitress Sookie Stackhouse encounters a strange new supernatural world when she meets the mysterious Bill Compton, a southern Louisiana gentleman and vampire."
45,A young woman with a troubled past is drawn to a small town in Maine where fairy tales are to be believed.
46,Following the rise of rock band Daisy Jones and The Six through the 1970s Los Angeles music scene on their quest for worldwide icon status.
47,A group of old friends reunited at a funeral make a drunken pact. Rather than let each other suffer a slow and painful decline they would engineer a dignified death. But what starts out as a fanciful idea soon morphs into shocking reality.
48,"After reluctantly agreeing to move in to a senior's home, a woman encounters a clique of mean-spirited women and an amorous widower."
49,A young woman falls for a guy with a dark secret and the two embark on a rocky relationship. Based on the novel by Anna Todd.
50,"A failed London musician meets once a week with a woman for a series of intense sexual encounters to get away from the realities of life. But when he begins inquiring about her, it puts their relationship at risk."
51,Secrets and truths unfold through the lives of female friends in one suburban neighborhood after the mysterious suicide of a neighbor.
52,Privileged teens living on the Upper East Side of New York can hide no secret from the ruthless blogger who is always watching.
53,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?"
54,"Follows Ember and Wade, in a city where fire-, water-, earth- and air-residents live together."
55,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future."
56,"Seeking a fresh start, nurse practitioner Melinda Monroe moves from Los Angeles to a remote Northern California town and is surprised by what and who she finds."
57,"A story about Ji-won, a time-limited woman, returning back to 10 years ago and dreaming of revenge after being killed by her husband who had an affair with her best friend."
58,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
59,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life."
60,"Lily travels to Scotland with her mother and reconnects with Logan, a childhood family friend. Unbeknownst to Lily and Logan, their meddling mothers have come up with a plan to set them up."
61,"A love triangle between one girl and two brothers. A story about first love, first heartbreak, and the magic of that one perfect summer."
62,The year is 1717. Wealthy land-owner Stede Bonnet has a midlife crisis and decides to blow up his cushy life to become a pirate. It does not go well. Based on a true story.
63,A suburban mother of two takes a fantasy-charged trip down memory lane that sets her very married present on a collision course with her wild child past.
64,"Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms."
65,An elderly man reads to a woman with dementia the story of two young lovers whose romance is threatened by the difference in their respective social classes.
66,"When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire."
67,A young American woman from the Midwest is hired by a marketing firm in Paris to provide them with an American perspective on things.
68,"A city teenager moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace."
69,"In a magically realistic version of Toronto, a young man must defeat his new girlfriend's seven evil exes one by one in order to win her heart."
70,"Following an explosion at a factory that mysteriously freezes a town in time, two students encounter a mysterious feral child, spurring an impulse of love fueled by the frustration of their daily lives that begins to upend their world."
71,"Cole falls head over heels for enigmatic Sadie, but then makes the shocking discovery that she's a secret agent. Before they can decide on a second date, Cole and Sadie are swept away on an international adventure to save the world."
72,"Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey."
73,"On an island of haves and have-nots, teen John B enlists his three best friends to hunt for a legendary treasure linked to his father's disappearance."
74,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him."
75,A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.
76,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever."
77,"Ahana, Neil and Imaad are three friends in their 20s trying to find meaning in the digital age. They lean on each other as they navigate complexities of relationships and self-discovery."
78,"Follow-up series to 'Vikings' set 100 years later and focusing on the adventures of Leif Erikson, Freydis, Harald Hardrada, and the Norman King William the Conqueror."
79,"A bedridden boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love."
80,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant."
81,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.
82,"Follows Marianne and Connell, from different backgrounds but the same small town in Ireland, as they weave in and out of each other's romantic lives."
83,"A group of friends living in Beverly Hills, California make their way through life from their school days into adulthood."
84,"Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend."
85,The life and adventures of the Ingalls family in the nineteenth century American Midwest.
86,"Follows the lives of eight very different couples in dealing with their love lives in various loosely interrelated tales all set during a frantic month before Christmas in London, England."
87,"Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle."
88,"A middle-aged husband's life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars."
89,"Tashi, a former tennis prodigy turned coach is married to a champion on a losing streak. Her strategy for her husband's redemption takes a surprising turn when he must face off against his former best friend and Tashi's former boyfriend."
90,"While navigating the troubled waters of romance, school and family, Archie and his gang become entangled in dark Riverdale mysteries."
91,A dramatic series about the reign and marriages of King Henry VIII.
92,"A romance fueled by ego, desire and the American Dream."
93,"At a Los Angeles beach, a team of lifeguards led by Lieutenant Mitch Buchannon save lives, deal with personal dramas, fight crime and participate in over the top adventures on a daily basis."
94,Four female New Yorkers gossip about their sex lives (or lack thereof) and find new ways to deal with being a woman in the late 1990s.
95,Follows the personal and professional life of lawyer Ally.
96,"Young Henry V encounters deceit, war and treachery after becoming King of England in the 15th century, in the aftermath of his brother's death."
97,A single father begins to narrate the story of the missing mother to his child and nothing remains the same.
98,"A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love."
99,"Bill, a young boy living on the outskirts of London experiences the exhilaration of World War II. During this period, Bill learns about sex, death, love, hypocrisy, and the faults of adults as he prowls the ruins of bombed houses."
100,"A coming of RAGE love story about a teenager and her crush, who happens to be a corpse. After a set of horrific circumstances bring him back to life, the two embark on a journey to find love, happiness - and a few missing body parts."
101,Callie and Mariana Foster move to Los Angeles and begin their lives as young adults.
102,"Noah has to leave her town, boyfriend and friends behind and move into the mansion of her mother's new rich husband. There she meets Nick, her new stepbrother. They fall madly in love in secret."
103,A woman who raised herself in the marshes of the Deep South becomes a suspect in the murder of a man with whom she was once involved.
104,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.
105,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own."
106,"A troubled youth becomes embroiled in the lives of a close-knit group of people in the wealthy, upper-class neighborhood of Newport Beach, Orange County, California."
107,"Set in a world where love is deemed illegal and can be eradicated with a special procedure. With 95 days to go until her scheduled treatment, Lena Holoway does the unthinkable: she falls in love."
108,"A writer and wall street trader, Nick Carraway, finds himself drawn to the past and lifestyle of his mysterious millionaire neighbor, Jay Gatsby, amid the riotous parties of the Jazz Age."
109,"A girl's ""sweet"" sixteenth birthday is anything but special: her family forgets about it, and she suffers from every embarrassment possible."
110,Four people and their otherworldly frienemy struggle in the afterlife to define what it means to be good.
111,"In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever."
112,"The trials and tribulations of Martin Ellingham, a brilliant but socially challenged doctor who moves from London to the picturesque village of Port Wenn in Cornwall."
113,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
114,A high school jock makes a bet that he can turn an unattractive girl into the school's prom queen.
115,The story of a bride-to-be trying to find her real father told using hit songs by the popular 1970s group ABBA.
116,Smart but wholesome Betty embraces her unique appearance and independent attitude in the cutthroat world of New York fashion.
117,A young American studying in Paris in 1968 strikes up a friendship with a French brother and sister. Set against the background of the '68 Paris student riots.
118,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.
119,"A high-school boy, Cameron, cannot date Bianca until her anti-social older sister, Kat, has a boyfriend. So, Cameron pays a mysterious boy, Patrick, to charm Kat."
120,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
121,"This spinoff of the critically acclaimed show Grey's Anatomy follows the lives of the men and women of firehouse station 19 in Seattle, Washington."
122,A newly sober single mom tries to pull her life together in Napa Valley while dealing with her wayward mother.
123,An average high school student and his best friend get caught up in some trouble causing him to receive a werewolf bite. As a result they find themselves in the middle of all sorts of dramas in Beacon Hills.
124,"Scott Pilgrim meets the girl of his dreams, Ramona Flowers, only to find out her seven evil exes stand in the way of their love."
125,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct."
126,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.
127,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think."
128,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
129,"A true story of survival, as a young couple's chance encounter leads them first to love, and then on the adventure of a lifetime as they face one of the most catastrophic hurricanes in recorded history."
130,A reclusive romance novelist on a book tour with her cover model gets swept up in a kidnapping attempt that lands them both in a cutthroat jungle adventure.
131,The story of how a green-skinned woman framed by the Wizard of Oz becomes the Wicked Witch of the West. The first of a two-part feature film adaptation of the Broadway musical.
132,"The romantic and comic tales of the passengers and crew of the cruise ship, Pacific Princess."
133,"A chronicle of the lives, loves, trials and tribulations of the citizens of the fictional city of Salem."
134,"Based on the 2014 romance novel of the same name, this follows the love life of two young adults."
135,Two romantic burnouts meet at a wedding and almost hook up in the coatroom before putting the brakes on. They agree to exchange candid confessions about their pasts on the off chance that this might be the real thing.
136,Two corporate executive assistants hatch a plan to match-make their two bosses.
137,"A selfish Prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
138,A detective investigating a man's death in the mountains meets the dead man's mysterious wife in the course of his dogged sleuthing.
139,A controversial dating series in which people see potential love interests whose naked bodies are gradually revealed to them. Then they must get naked themselves and choose.
140,"Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past."
141,"An English professor falls for a minor, and has to face the consequences of his actions."
142,"After being fired from her job and dumped by her boyfriend, a cosmetics saleswoman becomes the nanny to the three children of a rich English widower. As time passes, the two fall for each other."
143,"Two childhood best friends, Dawson and Joey, go through different stages of adolescence together. Their friendship is later tested when they both start a relationship with different people."
144,"The chronicles of four years in the life of Julie, a young woman who navigates the troubled waters of her love life and struggles to find her career path, leading her to take a realistic look at who she really is."
145,"Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition."
146,"Elizabeth Thatcher, a young schoolteacher from a wealthy Eastern family, migrates from the big city to teach school in a small coal mining town in the west."
147,"Merlin the magician helps Arthur Pendragon unite the Britons around the Round Table of Camelot, even as dark forces conspire to tear it apart."
148,A teenager's dreams come true when a former porn star moves in next door and they fall in love.
149,"In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war."
150,Two vicious step-siblings of an elite Manhattan prep school make a wager: to deflower the new headmaster's daughter before the start of term.
151,"After being dumped by the girl he believes to be his soulmate, hopeless romantic Tom Hansen reflects on their relationship to try and figure out where things went wrong and how he can win her back."
152,"An adaptation of the 1957 musical, West Side Story explores forbidden love and the rivalry between the Jets and the Sharks, two teenage street gangs of different ethnic backgrounds."
153,The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.
154,A young woman embarks on a 1000 mile odyssey through America where she meets a disenfranchised drifter. But all roads lead back to their terrifying pasts and to a final stand that will determine whether love can survive their otherness.
155,"Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?"
156,TV adaptation of the 1996 comedy about about three divorced wives who share a common past.
157,"A comedy revolving around a group of teenage friends, their mishaps, and their coming of age, set in 1970s Wisconsin."
158,"A young woman, recently released from a mental hospital, gets a job as a secretary to a demanding lawyer, where their employer-employee relationship turns into a sexual, sadomasochistic one."
159,This contemporary romantic comedy based on a global bestseller follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.
160,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other."
161,"The world's most famous superhero and comic books' most famous journalist face the pressures and complexities that come with balancing work, justice, and parenthood in today's society."
162,"Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love."
163,"Tony Micelli, a retired baseball player, becomes the housekeeper of Angela Bower, an advertising executive in New York. Together they raise their kids, Samantha Micelli and Jonathan Bower, with help from Mona Robinson, Angela's man-crazy mother."
164,A drug lady that rules a tigh house and will kill or have someone slaughtered without getting her hands dirty.
165,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
166,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
167,Shakespeare's famous play is updated to the hip modern suburb of Verona still retaining its original dialogue.
168,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.
169,"Amidst the war climate, a teenage boy discovering himself becomes love-stricken by Malèna, a sensual woman living in a small, narrow-minded Italian town."
170,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss."
171,A struggling musician realizes he's the only person on Earth who can remember The Beatles after waking up in an alternate reality where they never existed.
172,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
173,A look at the relationship between the famous physicist Stephen Hawking and his wife.
174,"A group of male friends become obsessed with five mysterious sisters who are sheltered by their strict, religious parents in suburban Detroit in the mid 1970s."
175,"The series follows Carrie, Miranda, and Charlotte as they navigate the journey from the complicated reality of life and friendship in their 30s to the even more complicated reality of life and friendship in their 50s."
176,"Spending the summer at a Catskills resort with her family, Frances ""Baby"" Houseman falls in love with the camp's dance instructor, Johnny Castle."
177,"William falls in love with his soon-to-be daughter in law, Anna who's trying to keep both relationships but the truth always comes to light and someone is going to be hurt."
178,Teenage friends find their lives upended by the wonders and horrors of puberty.
179,A New York suburban couple's marriage goes dangerously awry when the wife indulges in an adulterous fling.
180,"In Detroit, a pop culture nerd steals cocaine from his new wife's pimp and tries to sell it in Hollywood, prompting the mobsters who own the drugs to pursue the couple."
181,"King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature."
182,"Zoey Miller, a super smart computer nerd who is uninterested in romantic love, has her life turned upside down when Zack, the school's soccer star, gets amnesia and mistakes Zoey for his girlfriend."
183,"A set of circumstances makes Anna Scott, a famous actress, fall in love with William Thacker, owner of a bookstore in Notting Hill. But the paparazzi's fascination with her complicates their bond."
184,"Gay lawyer Will and straight interior designer Grace share a New York City apartment. Their best friends are gleeful and proud gay Jack and charismatic, filthy-rich, amoral socialite Karen."
185,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.
186,The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.
187,"The story of Alana Kane and Gary Valentine growing up, running around and going through the treacherous navigation of first love in the San Fernando Valley, 1973."
188,"When the feud between the son of the American President and Britain's prince threatens to drive a wedge in U.S./British relations, the two are forced into a staged truce that sparks something deeper."
189,"When the Queen of the Hard Rock Trolls tries to take over all the Troll kingdoms, Queen Poppy and her friends try different ways to save all the Trolls."
190,A hotel room in the center of Rome serves as the setting for two young and recently acquainted women to have a physical adventure that touches their very souls.
191,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
192,"With his oldest daughter's wedding approaching, a father finds himself reluctant to let go."
193,A young boy and his working-class Belfast family experience the tumultuous late 1960s.
194,"Two North Carolina teens, Landon Carter and Jamie Sullivan, are thrown together after Landon gets into trouble and is sentenced to perform community service."
195,"After his master dies, a peasant squire, fueled by his desire for food and glory, creates a new identity for himself as a knight."
196,"A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back."
197,Based on the legendary true story of the Red Dog who united a disparate local community while roaming the Australian outback in search of his long lost master.
198,"The trials and tribulations of two feuding families, the Carringtons and the Colbys, both oil rich families in Denver, Colorado."
199,"The story of Eugenie, an esteemed cook, and Dodin, the fine gourmet with whom she has been working for over the last 20 years."
200,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
201,"In the Victorian period, two children are shipwrecked on a tropical island in the South Pacific. With no adults to guide them, the two make a simple life together, unaware that sexual maturity will eventually intervene."
202,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.
203,"Elle Woods, a fashionable sorority queen, is dumped by her boyfriend. She decides to follow him to law school. While she is there, she figures out that there is more to her than just looks."
204,The life of super-yuppie J.C. is thrown into turmoil when she inherits a baby from a distant relative.
205,A teenage girl misses her flight at JFK Airport and meets a young British guy who may turn out to be her true love.
206,"A young beautician, newly arrived in a small Louisiana town, finds work at the local salon, where a small group of women share a close bond of friendship, and welcome her into the fold."
207,"Death, who takes the form of a young man killed in an accident, asks a media mogul to act as his guide to teach him about life on Earth and, in the process, he falls in love with the mogul's daughter."
208,"In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease."
209,"Diana Bishop, historian and witch, accesses Ashmole 782 and knows she must solve its mysteries. She is offered help by the enigmatic Matthew Clairmont, but he's a vampire and witches should never trust vampires."
210,Drama about the pioneers of the science of human sexuality whose research touched off the sexual revolution.
211,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is."
212,"Pete and Debbie are both about to turn 40, their kids hate each other, both of their businesses are failing, they're on the verge of losing their house, and their relationship is threatening to fall apart."
213,"Betrothed against her will to King George, young Charlotte arrives in London on her wedding day and faces scrutiny from the monarch's cunning mother."
214,"When her brother decides to ditch for a couple weeks, Viola heads over to his elite boarding school, disguised as him, and proceeds to fall for his school's star soccer player, and soon learns she's not the only one with romantic troubles."
215,"Blends the style of classic sitcoms with the MCU, in which Wanda Maximoff and Vision - two super-powered beings living their ideal suburban lives - begin to suspect that everything is not as it seems."
216,"Identical twins Annie and Hallie, separated at birth and each raised by one of their biological parents, discover each other for the first time at summer camp and make a plan to bring their wayward parents back together."
217,"After suffering a fall from grace, a photographer returns to her hometown and bumps into her childhood friend, rekindling an unfinished romance."
218,"J.R. Ewing, a Texas oil baron, uses manipulation and blackmail to achieve his ambitions, both business and personal. He often comes into conflict with his brother Bobby, his arch-enemy Cliff Barnes and his long-suffering wife Sue Ellen."
219,"When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger."
220,"Six tales of life and violence in the Old West, following a singing gunslinger, a bank robber, a traveling impresario, an elderly prospector, a wagon train, and a perverse pair of bounty hunters."
221,Ennis and Jack are two shepherds who develop a sexual and emotional relationship. Their relationship becomes complicated when both of them get married to their respective girlfriends.
222,Sonic in a high-octane adventure where the fate of a strange new multiverse rests in his gloved hands.
223,A clean-cut high school student relies on the school's rumor mill to advance her social and financial standing.
224,A high school student is forced to confront her secret crush at a kissing booth.
225,"Despite being caught in her imaginative world, Amelie, a young waitress, decides to help people find happiness. Her quest to spread joy leads her on a journey where she finds true love."
226,"An uptight teenage prodigy enters a top engineering college, but feels awkward among the freewheeling students. When a professor aims to turn their laser project into a military weapon, he and his offbeat roommate plot to ruin the plan."
227,"Just as Tessa makes the biggest decision of her life, everything changes. Revelations about her family, and then Hardin's, throw everything they knew before in doubt and makes their hard-won future together more difficult to claim."
228,"Families, friends, enemies, and lovers experience life-changing events in the large upstate city of Port Charles, New York, which has a busy hospital, upscale hotel, cozy diner, and dangerous waterfront frequented by the criminal underworld."
229,"An aristocrat, Sarah has a cattle station in Australia. Following the death of her husband, a baron plots to take her land but she joins forces with cattle drover Jackman to protect her station."
230,"Ross Poldark returns home after American Revolutionary War and rebuilds his life with a new business venture, making new enemies and finding a new love where he least expects it."
231,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy."
232,A tale of war and romance mixed in with history. The story follows two lifelong friends and a beautiful nurse who are caught up in the horror of an infamous Sunday morning in 1941.
233,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a road trip in search of her real father."
234,A recently widowed man's son calls a radio talk-show in an attempt to find his father a partner.
235,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
236,"When both he and a colleague are about to lose their job, Walter takes action by embarking on an adventure more extraordinary than anything he ever imagined."
237,"In 1991, a sheltered teenage boy comes of age during a wild summer he spends on Cape Cod getting rich from selling pot to gangsters, falling in love for the first time, partying and eventually realizing that he is in over his head."
238,"After a painful breakup, Ben develops insomnia. To kill time, he starts working the late night shift at the local supermarket, where his artistic imagination runs wild."
239,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together."
240,A poor girl must choose between the affections of dating her childhood sweetheart or a rich but sensitive playboy.
241,"A straight-laced bank manager about to marry the love of his life. When his bank is held up by infamous Ghost Bandits during his wedding week, he believes his future in-laws who just arrived in town, are the infamous Out-Laws."
242,A young woman who has reinvented herself as a New York City socialite must return home to Alabama to obtain a divorce from her husband after seven years of separation.
243,The relationships of two couples become complicated and deceitful when the man from one couple meets the woman of the other.
244,"An epic romantic adventure based on the life of Billy the Kid, from his humble Irish roots and his early days as a cowboy and gunslinger in the American frontier, to his pivotal role in the Lincoln County War and beyond."
245,"As a shocking truth about a couple's families emerges, the two lovers discover they are not so different from each other."
246,A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
247,"A haunting portrait of Lucy, a young university student drawn into a mysterious hidden world of unspoken desires."
248,A young soprano becomes the obsession of a disfigured and murderous musical genius who lives beneath the Paris Opéra House.
